Session ID,Player Name,Game Mode,Move Number,Timestamp,Direction,Score,Board State,Move Time,Tiles Added,Tiles Removed,Is Bad Move
20250801_162156_oej58,"Simon",countup,38,2025-08-01T04:22:01.734Z,Left,212,"4,0,0,0,8,4,2,0,32,16,0,0,8,4,4,2",77,1,0,false
20250801_162156_oej58,"Simon",countup,39,2025-08-01T04:22:01.817Z,Right,212,"4,4,2,2,8,16,4,0,32,4,0,0,8,2,0,0",83,1,0,false
20250801_162156_oej58,"Simon",countup,40,2025-08-01T04:22:01.890Z,Left,216,"4,4,0,0,8,16,0,2,32,4,2,0,8,2,4,2",73,1,1,false
20250801_162156_oej58,"Simon",countup,41,2025-08-01T04:22:01.919Z,Up,224,"4,4,2,4,8,16,4,0,32,4,0,2,8,2,0,0",29,1,1,false
20250801_162156_oej58,"Simon",countup,42,2025-08-01T04:22:01.976Z,Right,248,"8,2,4,0,8,16,4,0,32,4,2,0,8,2,4,0",57,1,2,false
20250801_162156_oej58,"Simon",countup,43,2025-08-01T04:22:02.053Z,Up,284,"0,2,0,2,16,16,8,0,32,4,2,0,8,2,4,0",77,1,2,false
20250801_162156_oej58,"Simon",countup,44,2025-08-01T04:22:02.068Z,Left,348,"4,0,0,0,32,8,0,4,32,4,2,0,8,2,4,0",15,1,1,false
20250801_162156_oej58,"Simon",countup,45,2025-08-01T04:22:02.142Z,Right,348,"4,8,2,4,64,4,4,0,8,2,0,2,0,0,0,0",74,1,0,false
20250801_162156_oej58,"Simon",countup,46,2025-08-01T04:22:02.212Z,Left,348,"0,0,4,0,4,8,0,0,64,4,2,4,8,2,4,2",69,1,0,false
20250801_162156_oej58,"Simon",countup,47,2025-08-01T04:22:02.224Z,Up,360,"4,8,4,4,64,4,2,2,8,2,4,0,2,0,0,0",13,1,2,false
20250801_162156_oej58,"Simon",countup,48,2025-08-01T04:22:02.299Z,Right,368,"4,8,8,2,64,4,4,0,8,2,4,0,2,0,0,0",75,1,1,false
20250801_162156_oej58,"Simon",countup,49,2025-08-01T04:22:02.370Z,Up,372,"4,0,0,0,64,8,0,2,8,4,8,0,2,2,8,2",71,1,1,false
20250801_162156_oej58,"Simon",countup,50,2025-08-01T04:22:02.378Z,Left,372,"4,0,0,0,64,8,2,0,8,4,8,2,4,8,2,0",8,1,0,false
20250801_162156_oej58,"Simon",countup,51,2025-08-01T04:22:02.462Z,Right,376,"4,8,2,2,64,4,8,2,8,8,2,0,4,0,0,0",84,1,1,false
20250801_162156_oej58,"Simon",countup,52,2025-08-01T04:22:02.527Z,Down,376,"4,2,0,0,64,8,2,0,8,4,8,0,4,8,2,4",65,1,0,false
20250801_162156_oej58,"Simon",countup,53,2025-08-01T04:22:02.540Z,Left,396,"0,0,4,2,2,64,8,2,0,8,4,8,4,8,2,4",13,1,2,false
20250801_162156_oej58,"Simon",countup,54,2025-08-01T04:22:02.617Z,Right,396,"2,64,4,4,4,16,8,8,0,0,4,4,2,0,2,0",77,1,0,false
20250801_162156_oej58,"Simon",countup,55,2025-08-01T04:22:02.675Z,Down,396,"0,0,4,2,2,0,8,4,4,64,4,8,2,16,2,4",58,1,0,false
20250801_162156_oej58,"Simon",countup,56,2025-08-01T04:22:02.710Z,Left,396,"2,0,4,2,0,2,8,4,4,64,4,8,2,16,2,4",35,1,0,false
20250801_162156_oej58,"Simon",countup,57,2025-08-01T04:22:02.777Z,Right,400,"2,2,4,2,4,64,8,4,2,16,4,8,2,0,2,4",67,1,1,true
20250801_162156_oej58,"Simon",countup,58,2025-08-01T04:22:02.934Z,Right,412,"2,0,4,2,2,2,8,4,4,64,4,8,4,16,2,4",157,1,2,false
20250801_162156_oej58,"Simon",countup,59,2025-08-01T04:22:02.992Z,Left,412,"2,0,4,2,0,2,8,4,4,64,4,8,8,16,2,4",58,1,0,false
20250801_162156_oej58,"Simon",countup,60,2025-08-01T04:22:03.093Z,Right,412,"2,2,4,2,4,64,8,4,8,16,4,8,2,0,2,4",100,1,0,false
20250801_162156_oej58,"Simon",countup,61,2025-08-01T04:22:03.131Z,Up,416,"2,2,4,2,4,2,8,4,8,64,4,8,2,16,2,4",39,1,1,true
20250801_162156_oej58,"Simon",countup,62,2025-08-01T04:22:03.176Z,Left,424,"4,4,2,2,4,2,8,4,8,64,4,8,2,16,2,4",45,1,1,true
20250801_162156_oej58,"Simon",countup,63,2025-08-01T04:22:03.264Z,Right,444,"8,4,2,2,8,2,8,4,2,64,4,8,2,16,2,4",88,1,2,false
20250801_162156_oej58,"Simon",countup,64,2025-08-01T04:22:03.335Z,Up,448,"2,4,2,2,0,2,8,4,16,64,4,8,4,16,2,4",71,1,1,false
20250801_162156_oej58,"Simon",countup,65,2025-08-01T04:22:03.345Z,Left,460,"2,4,4,0,2,8,4,2,16,64,4,8,4,16,2,4",10,1,2,false
20250801_162156_oej58,"Simon",countup,66,2025-08-01T04:22:03.434Z,Right,460,"4,4,8,2,16,8,4,8,4,64,2,4,2,16,0,0",89,1,0,false
20250801_162156_oej58,"Simon",countup,67,2025-08-01T04:22:03.520Z,Left,464,"4,4,0,2,16,8,8,2,4,64,4,8,2,16,2,4",86,1,1,false
20250801_162156_oej58,"Simon",countup,68,2025-08-01T04:22:03.608Z,Right,464,"4,4,8,4,16,8,4,8,4,64,2,4,2,16,0,2",88,1,0,false
20250801_162156_oej58,"Simon",countup,69,2025-08-01T04:22:03.655Z,Down,500,"4,4,2,4,16,8,8,8,4,64,4,4,2,16,2,2",47,1,4,false
20250801_162156_oej58,"Simon",countup,70,2025-08-01T04:22:03.732Z,Left,500,"0,8,2,4,0,16,8,16,0,4,64,8,2,2,16,4",76,1,0,false
20250801_162156_oej58,"Simon",countup,71,2025-08-01T04:22:03.820Z,Down,504,"2,8,2,4,0,16,8,16,0,4,64,8,2,2,16,4",89,1,1,false
20250801_162156_oej58,"Simon",countup,72,2025-08-01T04:22:03.903Z,Left,516,"2,8,2,4,0,16,8,16,2,4,64,8,0,4,16,4",83,1,2,false
20250801_162156_oej58,"Simon",countup,73,2025-08-01T04:22:04.360Z,Right,516,"4,8,2,4,0,16,8,16,0,8,64,8,0,2,16,4",457,1,0,true
20250801_162156_oej58,"Simon",countup,74,2025-08-01T04:22:04.507Z,Right,516,"2,8,2,4,0,16,8,16,0,8,64,8,4,2,16,4",147,1,0,false
20250801_162156_oej58,"Simon",countup,75,2025-08-01T04:22:04.528Z,Left,520,"2,8,2,4,0,16,8,16,2,8,64,8,4,2,16,4",21,1,1,false
20250801_162156_oej58,"Simon",countup,76,2025-08-01T04:22:04.562Z,Up,520,"4,8,2,4,4,16,8,16,4,8,64,8,0,2,16,4",34,1,0,true
20250801_162156_oej58,"Simon",countup,77,2025-08-01T04:22:04.663Z,Left,528,"4,8,2,4,4,16,8,16,4,8,64,8,2,16,4,2",100,1,1,false
20250801_162156_oej58,"Simon",countup,78,2025-08-01T04:22:04.734Z,Up,544,"8,8,2,4,4,16,8,16,2,8,64,8,2,16,4,2",72,1,1,false
20250801_162156_oej58,"Simon",countup,79,2025-08-01T04:22:04.821Z,Left,548,"16,2,4,2,4,16,8,16,2,8,64,8,2,16,4,2",87,1,1,false
20250801_162156_oej58,"Simon",countup,80,2025-08-01T04:22:04.904Z,Right,556,"16,2,4,2,4,16,8,16,4,8,64,8,2,16,4,2",83,1,1,false
20250801_162156_oej58,"Simon",countup,81,2025-08-01T04:22:04.968Z,Up,608,"2,2,4,2,16,16,8,16,8,8,64,8,2,16,4,2",64,1,3,false
20250801_162156_oej58,"Simon",countup,82,2025-08-01T04:22:05.019Z,Left,612,"4,4,2,2,32,8,16,0,16,64,8,0,2,16,4,2",51,1,1,false
20250801_162156_oej58,"Simon",countup,83,2025-08-01T04:22:05.117Z,Up,620,"4,4,2,4,32,8,16,0,16,64,8,4,2,16,4,0",98,1,1,false
20250801_162156_oej58,"Simon",countup,84,2025-08-01T04:22:05.151Z,Right,620,"8,2,4,0,32,8,16,2,16,64,8,4,2,16,4,0",34,1,0,false
20250801_162156_oej58,"Simon",countup,85,2025-08-01T04:22:05.249Z,Down,628,"8,2,4,0,32,8,16,2,16,64,8,2,2,16,4,4",98,1,1,false
20250801_162156_oej58,"Simon",countup,86,2025-08-01T04:22:05.287Z,Left,648,"0,8,2,4,32,8,16,2,16,64,8,2,2,2,16,8",38,1,2,false
20250801_162156_oej58,"Simon",countup,87,2025-08-01T04:22:05.376Z,Right,660,"32,16,2,4,16,64,16,4,2,2,8,8,0,2,16,0",89,1,2,false
20250801_162156_oej58,"Simon",countup,88,2025-08-01T04:22:05.430Z,Down,708,"0,0,2,0,32,16,16,2,16,64,8,8,2,4,16,8",54,1,2,false
20250801_162156_oej58,"Simon",countup,89,2025-08-01T04:22:05.472Z,Left,712,"0,0,2,2,0,32,32,2,0,16,64,16,2,4,16,8",41,1,1,false
20250801_162156_oej58,"Simon",countup,90,2025-08-01T04:22:05.562Z,Right,712,"2,32,2,4,0,16,32,16,0,4,64,8,0,0,16,2",91,1,0,false
20250801_162156_oej58,"Simon",countup,91,2025-08-01T04:22:05.611Z,Up,776,"0,0,2,4,2,32,32,16,0,16,64,8,2,4,16,2",49,1,1,false
20250801_162156_oej58,"Simon",countup,92,2025-08-01T04:22:05.707Z,Left,912,"2,4,0,2,2,64,16,0,16,64,8,0,2,4,16,2",96,1,3,false
20250801_162156_oej58,"Simon",countup,93,2025-08-01T04:22:05.811Z,Right,916,"4,4,16,4,16,128,8,0,2,4,16,0,2,0,0,0",104,1,1,false
20250801_162156_oej58,"Simon",countup,94,2025-08-01T04:22:05.901Z,Down,932,"0,0,0,0,4,4,16,2,16,128,8,0,4,4,16,4",90,1,2,false
20250801_162156_oej58,"Simon",countup,95,2025-08-01T04:22:05.975Z,Left,936,"0,0,0,2,0,8,16,2,0,16,128,8,0,8,16,4",74,1,1,false
20250801_162156_oej58,"Simon",countup,96,2025-08-01T04:22:06.079Z,Right,936,"0,8,16,4,0,16,128,8,0,8,16,4,0,0,0,2",104,1,0,false
20250801_162156_oej58,"Simon",countup,97,2025-08-01T04:22:06.144Z,Up,936,"0,2,0,4,0,8,16,8,0,16,128,4,0,8,16,2",65,1,0,false
20250801_162156_oej58,"Simon",countup,98,2025-08-01T04:22:06.206Z,Left,936,"2,4,0,0,8,16,8,0,16,128,4,2,8,16,2,0",62,1,0,true
20250801_162156_oej58,"Simon",countup,99,2025-08-01T04:22:06.309Z,Right,940,"2,4,8,2,8,16,4,0,16,128,2,0,8,16,0,2",103,1,1,true
20250801_162156_oej58,"Simon",countup,100,2025-08-01T04:22:06.496Z,Left,940,"2,4,0,0,8,16,8,0,16,128,4,2,8,16,2,4",186,1,0,true
20250801_162156_oej58,"Simon",countup,101,2025-08-01T04:22:06.615Z,Right,948,"2,4,8,2,8,16,4,4,16,128,2,4,8,16,0,0",120,1,1,true
20250801_162156_oej58,"Simon",countup,102,2025-08-01T04:22:06.689Z,Up,948,"2,4,0,2,8,16,8,0,16,128,4,2,8,16,2,8",74,1,0,true
